"spotify_id","name","artists","daily_rank","daily_movement","weekly_movement","country","snapshot_date","popularity","is_explicit","duration_ms","album_name","album_release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"0xGQTpN4ESETtl1Sp6rzd2","São Paulo (feat. Anitta)","The Weeknd, Anitta","42","8","8","UA","2025-01-08","84","True","301623","São Paulo","2024-10-31","0.574","0.659","5","-7.377","0","0.0768","0.0412","0.0002","0.0921","0.506","127.347","4"
"3M0lSi5WW79CXQamgSBIjx","Swim","Chase Atlantic","43","-2","7","UA","2025-01-08","86","True","228786","Chase Atlantic","2017-10-04","0.666","0.542","8","-6.429","1","0.0392","0.27","0.0","0.0765","0.0771","120.134","4"
"2WeoEwj67HCAR2QULKnql6","Барабан","Artem Pivovarov, Klavdia Petrivna","44","-1","6","UA","2025-01-08","51","False","190912","THE BEST","2024-05-27","0.597","0.79","9","-5.066","0","0.0876","0.0135","0.0","0.236","0.559","93.101","4"
"1lx65Q3Vfy8NsfaA5DXUcJ","Sladki Snov Rapper 2","FRIENDLY THUG 52 NGG","45","-1","4","UA","2025-01-08","60","True","134400","Cristoforo Colombo","2023-11-03","0.869","0.481","11","-7.567","1","0.255","0.798","0.000148","0.111","0.282","99.886","4"
"6dOtVTDdiauQNBQEDOtlAB","BIRDS OF A FEATHER","Billie Eilish","46","0","4","UA","2025-01-08","97","False","210373","HIT ME HARD AND SOFT","2024-05-17","0.747","0.507","2","-10.171","1","0.0358","0.2","0.0608","0.117","0.438","104.978","4"
"1GUQJU4M76atFmI5Yu9I8i","Знайди мене","Klavdia Petrivna","47","-9","3","UA","2025-01-08","55","False","150723","Бережи мене","2023-09-22","0.757","0.46","7","-12.213","0","0.0563","0.711","0.466","0.204","0.172","109.946","4"
"5sGKghKnKrufLzx3fwTr0i","У батарей","nyan.mp3","48","-9","2","UA","2025-01-08","59","False","105200","У батарей","2024-12-20","0.795","0.581","0","-7.208","1","0.0364","0.576","0.00136","0.103","0.551","124.422","4"
"0BryMsuHUY9EK5wC45PggL","мило материшься","volhey","49","0","1","UA","2025-01-08","59","False","120397","мило материшься","2024-12-06","0.436","0.686","1","-10.314","1","0.0513","0.281","0.301","0.0909","0.641","192.115","4"
"2qGURS7y8zM7STkxOLgnWO","Небо","SadSvit","50","-5","-4","UA","2025-01-08","57","False","219847","Небо","2022-01-30","0.539","0.79","6","-4.386","0","0.0273","0.134","0.84","0.109","0.606","89.985","4"
"7G7mSV4BebkoHWwKTDvXu9","Winter Ahead (with PARK HYO SHIN)","V, Park Hyo Shin","1","0","0","TW","2025-01-08","88","False","234895","Winter Ahead (with PARK HYO SHIN)","2024-11-29","0.36","0.316","3","-9.954","1","0.0284","0.858","0.000212","0.23","0.229","76.844","3"
"7tI8dRuH2Yc6RuoTjxo4dU","Who","Jimin","2","0","0","TW","2025-01-08","90","False","170887","MUSE","2024-07-19","0.66","0.756","0","-3.743","0","0.032","0.00289","0.0","0.193","0.838","116.034","4"
"50zAEIE4B1QqhPjRMK2Xmh","Running Wild","Jin","3","1","0","TW","2025-01-08","82","False","151646","Happy - :') (Remixes)","2024-11-19","0.487","0.711","8","-4.22","1","0.0322","0.000175","0.0","0.152","0.317","146.921","4"
